nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.0;172.0;11.07;-75.4;8.22;11.411
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.001;7.0;10.72;-3.0;6.95;11.224
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.002;172.0;11.06;-75.4;8.22;11.412
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.003;172.0;11.06;-75.5;8.22;11.412
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.004;172.0;11.06;-75.5;8.22;11.412
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.005;172.0;11.06;-75.6;8.22;11.413
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.006;172.0;11.06;-75.6;8.22;11.413
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.007;172.0;11.06;-75.6;8.23;11.413
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.008;10.0;10.85;-39.2;7.58;11.34
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.009;172.0;11.06;-75.7;8.23;11.413
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.01;10.0;10.87;-45.9;7.7;11.369
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.011;10.0;10.87;-46.6;7.71;11.375
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.012;10.0;10.87;-65.6;8.05;11.381
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.013;10.0;10.87;-62.7;8.0;11.385
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.016;8.0;10.88;-68.6;8.1;11.389
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.018;7.0;10.87;-78.6;8.28;11.389
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.02;7.0;10.87;-78.5;8.28;11.388
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.024;18.0;10.86;-78.4;8.27;11.381
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.028;172.0;11.06;-75.7;8.23;11.412
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.052;33.0;10.86;-78.2;8.27;11.376
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.126;175.0;10.86;-78.0;8.27;11.354
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.219;175.0;10.85;-77.8;8.26;11.341
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.325;175.0;10.85;-77.6;8.26;11.287
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:14;0.426;175.0;10.84;-77.3;8.26;11.23
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;0.868;172.0;11.06;-75.7;8.23;11.41
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;1.141;173.0;11.06;-75.8;8.23;11.407
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.18;175.0;10.83;-77.1;8.25;11.179
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.231;175.0;10.82;-76.8;8.25;11.12
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.284;175.0;10.81;-76.6;8.24;11.097
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;1.307;173.0;11.06;-75.8;8.23;11.401
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.339;176.0;10.79;-76.3;8.24;11.007
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.394;176.0;10.78;-76.1;8.24;10.985
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.462;176.0;10.77;-75.8;8.23;10.896
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.518;176.0;10.75;-75.5;8.23;10.843
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.582;176.0;10.73;-75.3;8.22;10.787
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.652;176.0;10.71;-75.0;8.22;10.737
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;1.751;173.0;11.05;-75.8;8.23;11.392
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.756;176.0;10.69;-74.7;8.21;10.682
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:11;1.811;173.0;11.04;-75.8;8.23;11.364
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.843;176.0;10.67;-74.4;8.21;10.639
Suivi des lacs sentinelles;Anterne;Anterne : point de prélèvement 1;sonde exo;;08/09/2014;13:13;1.923;175.0;10.65;-74.1;8.2;10.598
