nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.284;278.2;9.37;-250.6;8.12;9.541
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.286;277.7;9.39;-250.5;8.12;9.649
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.288;277.8;9.36;-250.5;8.12;9.683
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.291;277.9;9.34;-250.6;8.12;9.687
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.299;278.4;9.32;-251.0;8.13;9.619
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.309;278.5;9.33;-251.6;8.13;9.577
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;0.324;278.3;9.34;-252.6;8.15;9.579
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.107;278.6;9.32;-256.8;8.21;9.504
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.312;279.2;9.3;-266.4;8.34;9.386
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.455;278.9;9.31;-271.7;8.42;9.28
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.519;278.8;9.33;-274.0;8.46;9.214
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.594;278.6;9.34;-275.2;8.47;9.154
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.726;278.0;9.35;-275.7;8.48;9.131
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.829;277.6;9.35;-276.0;8.49;9.106
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;1.917;277.6;9.34;-276.2;8.49;9.073
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;2.002;278.5;9.34;-276.2;8.49;9.032
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;2.082;279.3;9.34;-276.4;8.49;9.003
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;2.175;278.3;9.35;-276.5;8.49;8.992
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;2.252;277.5;9.34;-276.6;8.49;8.984
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.065;277.2;9.34;-276.8;8.49;8.967
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.182;275.1;9.33;-277.5;8.51;8.951
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.33;272.3;9.34;-278.0;8.51;8.936
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.425;274.4;9.34;-278.5;8.53;8.927
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.502;276.3;9.34;-278.9;8.53;8.916
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.602;277.6;9.33;-279.0;8.53;8.91
Suivi des lacs sentinelles;Blanc du Bramant;Blanc du Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;14:19;3.695;280.3;9.33;-279.0;8.53;8.905
