nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.051;188.3;8.95;-121.1;7.37;10.322
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.052;188.2;8.95;-121.2;7.37;10.319
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.053;188.2;8.95;-121.2;7.37;10.318
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.058;188.3;8.96;-121.1;7.37;10.319
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.065;188.5;8.96;-121.0;7.37;10.321
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.078;188.6;8.96;-121.1;7.37;10.324
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.094;188.6;8.97;-121.1;7.37;10.329
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;0.943;188.6;8.96;-121.2;7.37;10.334
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.098;188.6;8.96;-121.2;7.37;10.338
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.215;188.7;8.96;-121.2;7.37;10.343
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.33;188.6;8.96;-121.3;7.37;10.347
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.414;188.6;8.96;-121.3;7.37;10.351
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.505;188.6;8.95;-121.3;7.37;10.357
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.591;188.6;8.95;-121.4;7.37;10.363
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.683;188.5;8.95;-121.4;7.37;10.37
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.752;188.6;8.95;-121.4;7.37;10.374
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.819;188.7;8.94;-121.4;7.37;10.376
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.885;188.6;8.94;-121.5;7.37;10.377
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;1.951;188.6;8.94;-121.5;7.37;10.377
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;2.033;188.7;8.94;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;2.873;188.8;8.94;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.01;188.9;8.94;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.167;188.9;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.22;188.9;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.291;188.9;8.93;-121.6;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.367;188.8;8.93;-121.6;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.433;188.8;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.492;188.9;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.564;188.8;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.631;188.8;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.697;188.8;8.93;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.763;188.8;8.92;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;3.843;188.8;8.92;-121.5;7.37;10.378
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;4.689;188.8;8.92;-121.5;7.37;10.377
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;09:59;4.79;188.8;8.92;-121.4;7.37;10.377
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;4.894;188.9;8.92;-121.4;7.37;10.376
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;4.966;189.0;8.92;-121.4;7.37;10.376
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;5.044;189.2;8.92;-121.4;7.37;10.375
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;5.13;189.2;8.92;-121.4;7.37;10.375
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;5.21;189.3;8.92;-121.4;7.37;10.374
Suivi des lacs sentinelles;Bramant;Bramant : point de prélèvement 1;sonde exo Université de savoie;echantillonnage réalisé par florent arthaud usmb;30/09/2019;10:00;5.284;189.4;8.92;-121.4;7.37;10.373
