nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:38;0.371;5.6;8.66;7.22;10.119
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:38;0.383;5.6;8.66;7.21;10.117
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:38;1.331;5.6;8.66;7.2;10.101
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;1.909;5.6;8.65;7.2;10.074
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;3.357;5.6;8.64;7.19;10.001
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;3.896;5.6;8.64;7.19;9.891
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;5.312;5.6;8.64;7.2;9.828
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;6.623;5.6;8.63;7.19;9.787
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:39;7.282;5.6;8.63;7.19;9.77
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:40;8.837;5.6;8.61;7.19;9.742
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:40;10.424;5.6;8.6;7.18;9.72
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:40;10.977;5.6;8.59;7.18;9.714
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo ONEMA;;23/09/2015;12:40;12.257;5.6;8.57;7.03;9.716
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.0;6.0;10.86;7.54;10.741
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.005;6.0;10.86;7.54;10.739
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.012;6.0;10.86;7.54;10.736
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.02;6.0;10.86;7.53;10.733
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.029;6.0;10.86;7.53;10.73
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.038;6.0;10.86;7.53;10.725
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.051;6.0;10.85;7.52;10.718
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.063;6.0;10.85;7.52;10.711
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.075;6.0;10.85;7.51;10.703
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.089;6.0;10.85;7.51;10.694
