nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;0.2;11.0;8.3;;8.2;15.01
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;1.0;10.0;8.26;;8.0;14.94
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;2.0;10.0;8.28;;7.99;14.72
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;3.0;11.0;8.46;;8.1;14.25
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;4.0;11.0;8.51;;8.16;14.01
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;5.0;11.0;8.53;;8.24;13.73
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;6.0;11.0;8.56;;8.28;13.43
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;7.0;11.0;8.63;;8.32;13.04
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;8.0;11.0;9.29;;8.42;11.42
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;9.0;11.0;10.05;;8.5;9.87
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;10.0;12.0;10.38;;8.53;8.56
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;11.0;12.0;10.49;;8.62;7.46
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;12.0;13.0;10.61;;8.58;6.3
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;13.0;15.0;10.6;;8.55;5.28
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;14.0;17.0;10.35;;8.48;4.83
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;15.0;20.0;9.4;;8.44;4.66
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;16.0;21.0;8.9;;8.42;4.53
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;17.0;22.0;8.5;;8.38;4.41
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;18.0;22.0;8.0;;8.37;4.4
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;19.0;22.0;7.6;;8.34;4.34
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;20.0;23.0;7.2;;8.33;4.29
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;21.0;23.0;6.7;;8.3;4.29
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;22.0;23.0;6.25;;8.29;4.26
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;23.0;24.0;5.84;;8.26;4.23
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;24.0;24.0;5.57;;8.26;4.22
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde SAGE environnement 2006;;25/07/2006;13:00;25.0;25.0;5.18;;8.13;4.22
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;0.2;11.0;8.3;;8.2;15.01
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;1.0;10.0;8.26;;8.0;14.94
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;2.0;10.0;8.28;;7.99;14.72
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;3.0;11.0;8.46;;8.1;14.25
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;4.0;11.0;8.51;;8.16;14.01
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;5.0;11.0;8.53;;8.24;13.73
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;6.0;11.0;8.56;;8.28;13.43
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;7.0;11.0;8.63;;8.32;13.04
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;8.0;11.0;9.29;;8.42;11.42
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;9.0;11.0;10.05;;8.5;9.87
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;10.0;12.0;10.38;;8.53;8.56
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;11.0;12.0;10.49;;8.62;7.46
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;12.0;13.0;10.61;;8.58;6.3
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;13.0;15.0;10.6;;8.55;5.28
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;14.0;17.0;10.35;;8.48;4.83
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;15.0;20.0;9.4;;8.44;4.66
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;16.0;21.0;8.9;;8.42;4.53
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;17.0;22.0;8.5;;8.38;4.41
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;18.0;22.0;8.0;;8.37;4.4
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;19.0;22.0;7.6;;8.34;4.34
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;20.0;23.0;7.2;;8.33;4.29
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;21.0;23.0;6.7;;8.3;4.29
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;22.0;23.0;6.25;;8.29;4.26
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;23.0;24.0;5.84;;8.26;4.23
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;24.0;24.0;5.57;;8.26;4.22
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;05/09/2013;13:00;25.0;25.0;5.18;;8.13;4.22
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;0.2;13.0;8.5;;7.54;14.6
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;1.0;13.0;8.33;;7.5;14.54
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;2.0;13.0;8.24;;7.46;14.43
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;3.0;13.0;8.38;;7.46;13.88
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;4.0;13.0;8.44;;7.47;13.51
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;5.0;13.0;8.48;;7.5;13.13
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;6.0;13.0;8.57;;7.52;12.58
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;7.0;17.0;8.4;;7.48;8.9
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;8.0;18.0;8.35;;7.49;6.41
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;9.0;18.0;8.15;;7.49;5.55
Suivi des lacs sentinelles;Corne;Corne : point de prélèvement 1;sonde Hydrolab CIH;;09/09/2014;12:00;10.0;19.0;7.84;;7.47;5.2
