nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:57;0.02;2.0;11.33;43.5;6.13;11.678
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:57;0.028;2.0;11.36;51.9;5.98;11.644
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:57;0.035;2.0;11.39;53.8;5.95;11.615
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.045;3.0;11.41;52.0;5.98;11.584
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.056;3.0;11.43;60.4;5.83;11.559
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.061;3.0;11.45;61.4;5.81;11.531
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.074;3.0;11.47;61.8;5.81;11.505
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.079;3.0;11.49;61.3;5.82;11.483
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.087;3.0;11.51;54.2;5.94;11.477
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.098;3.0;11.52;57.1;5.89;11.466
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.103;3.0;11.54;59.4;5.85;11.459
Suivi des lacs sentinelles;Cornu;Cornu : point de prélèvement 1;sonde exo;;01/09/2014;13:58;0.116;3.0;11.57;57.0;5.89;11.457
