nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:12;0.072;126.8;9.27;;8.65;9.425
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:12;0.121;126.6;9.35;;8.6;9.402
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;0.168;126.4;9.41;;8.58;9.357
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;0.208;126.5;9.44;;8.56;9.353
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;0.302;126.2;9.46;;8.54;9.295
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;0.442;126.0;9.49;;8.53;9.265
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;0.669;125.9;9.51;;8.52;9.254
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:13;1.59;125.8;9.52;;8.51;9.243
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;1.766;125.6;9.54;;8.51;9.178
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;1.956;125.1;9.55;;8.51;8.956
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;2.161;124.9;9.56;;8.5;8.857
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;3.09;124.9;9.57;;8.49;8.819
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;3.162;124.9;9.56;;8.48;8.795
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:14;4.111;124.4;9.62;;8.48;8.643
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;4.117;124.2;9.71;;8.48;8.398
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;4.402;123.8;9.69;;8.47;8.134
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;4.63;123.2;9.71;;8.46;7.939
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:16;5.326;123.4;9.46;;8.48;7.908
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;5.542;122.9;9.8;;8.44;7.883
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;5.605;122.8;9.85;;8.43;7.861
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:15;5.82;122.7;9.86;;8.43;7.859
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:16;6.637;122.8;9.86;;8.43;7.867
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:16;6.726;123.2;9.89;;8.43;7.927
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;27/08/2014;11:16;6.746;124.6;9.64;;8.46;8.048
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:23;0.058;191.9;8.74;;8.65;9.884
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:23;0.321;190.4;9.07;;8.59;9.634
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:23;0.349;190.4;9.23;;8.56;9.591
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:24;1.095;190.5;9.28;;8.55;9.535
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:24;1.547;190.4;9.33;;8.54;9.496
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:24;1.982;190.4;9.34;;8.54;9.478
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:25;2.805;190.6;9.36;;8.54;9.395
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:25;3.689;190.9;9.41;;8.52;9.249
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:25;4.576;191.8;9.38;;8.5;8.979
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:26;5.443;192.1;9.15;;8.46;8.878
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo ONEMA;;09/09/2015;08:26;6.029;212.1;7.39;;8.39;8.821
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo IMBE;;20/06/2016;14:17;0.004;;7.51;;8.45;
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo IMBE;;20/06/2016;14:17;0.013;;7.72;;8.43;
Suivi des lacs sentinelles;Lauzanier;Lauzanier : point de prélèvement 1;sonde exo IMBE;;20/06/2016;14:17;0.031;;7.8;;8.43;
