nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:26;0.114;141.12;8.6;;;11.34
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:27;0.422;141.19;8.55;;;11.36
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:40;0.962;140.86;8.34;;;11.32
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:40;1.942;140.77;8.39;;;11.26
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:41;2.859;139.93;8.43;;;11.07
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:41;3.799;139.63;8.45;;;10.96
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:41;4.944;139.62;8.5;;;10.87
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:41;5.971;139.45;8.52;;;10.82
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:42;6.96;139.23;8.5;;;10.78
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:42;7.898;138.96;8.49;;;10.74
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:42;8.825;138.86;8.5;;;10.7
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:42;9.787;138.83;8.5;;;10.62
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:43;10.938;137.21;8.52;;;9.09
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:43;11.903;132.83;8.94;;;7.87
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:43;12.473;131.2;9.26;;;7.62
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:44;12.91;131.33;9.43;;;7.09
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:44;13.85;130.31;9.75;;;6.6
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:44;15.006;129.22;9.88;;;6.23
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:45;16.027;128.5;9.9;;;5.9
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:45;17.08;128.1;9.89;;;5.51
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:45;18.118;127.57;9.74;;;5.03
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:46;19.124;127.18;9.45;;;4.86
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:46;20.114;126.79;9.2;;;4.71
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:46;21.163;126.85;8.85;;;4.54
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:46;22.182;127.57;8.4;;;4.34
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:47;23.183;127.87;7.86;;;4.18
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:47;24.141;127.42;7.09;;;4.09
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:47;24.155;128.71;6.57;;;4.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:47;25.17;128.71;6.05;;;3.99
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:48;26.227;128.81;5.25;;;3.94
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:48;27.228;128.75;4.72;;;3.92
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:49;27.236;128.38;4.52;;;3.92
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:49;28.233;128.86;4.12;;;3.87
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:50;29.18;128.94;3.92;;;3.88
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:50;29.192;128.87;3.83;;;3.88
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;memodat onema;;14/08/2014;13:50;30.111;129.2;3.78;;;3.89
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.003;197.0;8.25;;8.37;12.823
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.012;196.8;8.26;;8.37;12.835
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.019;196.8;8.27;;8.38;12.855
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.026;196.7;8.28;;8.38;12.876
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.034;196.7;8.29;;8.38;12.902
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.043;196.6;8.31;;8.38;12.928
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:07;0.051;196.4;8.32;;8.38;12.959
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.059;196.3;8.34;;8.38;12.986
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.068;196.1;8.36;;8.39;13.02
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.076;196.0;8.37;;8.39;13.049
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.086;196.0;8.38;;8.39;13.055
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.094;195.9;8.39;;8.39;13.056
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.103;195.9;8.4;;8.39;13.056
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.111;195.9;8.41;;8.39;13.056
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.121;195.9;8.41;;8.39;13.055
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.13;196.0;8.42;;8.39;13.055
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.135;196.0;8.43;;8.39;13.054
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.138;196.0;8.44;;8.39;13.053
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.141;196.0;8.44;;8.4;13.052
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.149;195.9;8.45;;8.4;13.051
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.156;195.9;8.45;;8.4;13.051
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.165;195.9;8.46;;8.4;13.05
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.173;195.9;8.46;;8.4;13.049
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.183;195.9;8.47;;8.4;13.048
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.192;195.9;8.47;;8.4;13.047
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.201;195.9;8.48;;8.4;13.046
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.209;195.9;8.48;;8.41;13.045
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.22;195.9;8.49;;8.41;13.044
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.228;195.9;8.49;;8.41;13.043
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.237;195.9;8.5;;8.41;13.042
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.245;195.9;8.5;;8.41;13.041
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.254;195.9;8.5;;8.41;13.041
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.264;195.9;8.51;;8.41;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.273;195.9;8.51;;8.41;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.281;195.9;8.51;;8.41;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.282;196.0;8.58;;8.44;13.039
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.283;196.0;8.58;;8.44;13.043
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.284;196.0;8.58;;8.44;13.045
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.285;196.0;8.58;;8.43;13.044
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.286;195.9;8.52;;8.42;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.287;195.9;8.58;;8.43;13.048
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.288;195.9;8.52;;8.42;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.289;196.0;8.58;;8.43;13.05
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.29;195.9;8.52;;8.42;13.04
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:09;0.291;196.0;8.58;;8.43;13.052
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.292;195.9;8.52;;8.42;13.041
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.293;195.9;8.53;;8.42;13.041
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.294;195.9;8.53;;8.42;13.042
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.295;195.9;8.53;;8.42;13.043
Suivi des lacs sentinelles;Malrif;Malrif : centroïde;sonde exo ONEMA;;02/09/2015;11:08;0.296;195.9;8.53;;8.42;13.043
