nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);oxygene saturation (%);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:42;0.318;23.74;9.3;71.4731;;4.29
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:42;0.644;23.78;9.75;74.9139;;4.27
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:43;0.929;23.84;9.79;75.2434;;4.27
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:44;1.887;23.78;9.78;75.1695;;4.27
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:44;3.132;23.68;9.81;75.361;;4.26
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:44;4.106;23.7;9.77;75.0589;;4.26
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:45;5.232;23.67;9.77;75.0187;;4.25
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:45;6.184;23.78;9.77;75.0415;;4.25
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:45;7.422;23.69;9.77;74.9759;;4.24
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:46;8.295;23.63;9.75;74.8727;;4.23
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:46;9.257;23.7;9.76;74.8966;;4.23
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:46;10.131;23.66;9.74;74.7605;;4.22
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:47;11.134;23.57;9.75;74.8252;;4.23
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:47;12.1;23.72;9.74;74.7504;;4.24
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:47;13.057;23.61;9.74;74.7071;;4.22
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:48;14.028;23.66;9.73;74.6414;;4.21
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:48;15.049;23.69;9.72;74.5921;;4.2
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:48;16.058;23.7;9.71;74.4671;;4.21
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:49;17.006;23.62;9.73;74.5975;;4.2
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:49;17.932;23.64;9.7;74.3886;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:49;18.858;23.45;9.71;74.4584;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:49;19.861;23.64;9.69;74.2929;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:50;20.838;23.51;9.68;74.1994;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:50;21.74;23.43;9.7;74.3888;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:50;22.654;23.63;9.67;74.1448;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:51;23.096;23.61;9.68;74.1758;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:52;24.15;23.63;9.67;74.2116;;4.22
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:52;25.479;23.67;9.65;74.0054;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:53;26.116;23.67;9.65;73.9938;;4.19
