nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;-0.006;;8.4;;7.18;21.625
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;-0.004;;9.31;;5.27;11.85
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.004;;9.55;;5.24;11.775
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.014;;9.63;;5.2;11.768
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.025;;9.76;;5.19;11.852
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.036;;9.81;;5.41;11.892
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.049;;9.87;;5.51;11.896
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.06;;9.93;;5.4;11.877
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.071;;9.95;;5.28;11.866
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.082;;9.99;;5.55;11.847
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.093;;10.0;;5.6;11.831
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.106;;10.05;;5.55;11.817
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.117;;10.06;;5.55;11.804
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.129;;10.09;;5.58;11.797
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.136;;10.76;;7.04;11.592
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.137;;10.76;;7.04;11.593
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.139;;10.76;;7.04;11.594
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.14;;10.12;;5.59;11.786
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.141;;10.76;;7.04;11.589
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.142;;10.76;;7.04;11.594
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.145;;10.76;;7.04;11.594
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.149;;10.76;;7.04;11.586
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.15;;10.76;;7.04;11.594
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.151;;10.15;;5.59;11.777
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.154;;10.76;;7.04;11.583
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.155;;10.76;;7.04;11.595
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.159;;10.76;;7.04;11.578
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.161;;10.76;;7.04;11.595
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:30;0.165;;10.19;;5.6;11.769
Suivi des lacs sentinelles;Pétarel;Pétarel : centroïde;sonde exo PNE;;29/09/2014;12:36;0.166;;10.77;;7.04;11.574
