nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.391;89.8;12.88;;8.82;8.932
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.393;89.8;12.88;;8.82;8.931
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.397;89.8;12.88;;8.82;8.931
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.404;89.8;12.88;;8.82;8.931
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.413;89.8;12.88;;8.82;8.931
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.424;89.8;12.88;;8.82;8.932
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.433;89.8;12.88;;8.82;8.932
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.442;89.8;12.88;;8.82;8.933
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.452;89.8;12.88;;8.82;8.933
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.464;89.8;12.88;;8.82;8.933
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.474;89.8;12.88;;8.82;8.934
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.484;89.8;12.88;;8.82;8.934
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.497;89.8;12.88;;8.82;8.934
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.512;89.8;12.88;;8.82;8.935
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.532;89.8;12.88;;8.82;8.936
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;0.55;89.8;12.88;;8.82;8.936
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.299;89.8;12.88;;8.82;8.937
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.396;89.8;12.88;;8.82;8.937
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.537;89.8;12.88;;8.82;8.937
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.6;89.8;12.88;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.625;89.8;12.88;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.669;89.8;12.88;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.713;89.8;12.88;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.75;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.78;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.818;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.854;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.892;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.925;89.8;12.88;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;1.963;89.8;12.87;;8.82;8.939
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.006;89.8;12.87;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.049;89.8;12.88;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.103;89.9;12.87;;8.82;8.938
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.147;89.9;12.87;;8.82;8.937
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.19;89.9;12.87;;8.82;8.936
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;2.231;89.9;12.88;;8.82;8.936
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.043;89.9;12.87;;8.82;8.935
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.095;89.9;12.87;;8.82;8.933
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.223;89.9;12.87;;8.82;8.93
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.263;90.0;12.87;;8.82;8.927
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.322;90.0;12.87;;8.82;8.923
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.42;90.1;12.87;;8.82;8.918
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:15;3.473;90.1;12.87;;8.82;8.912
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.523;90.2;12.87;;8.82;8.906
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.572;90.2;12.87;;8.82;8.899
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.611;90.2;12.88;;8.83;8.893
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.653;90.3;12.88;;8.83;8.885
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.696;90.3;12.88;;8.83;8.878
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.746;90.4;12.89;;8.83;8.869
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.791;90.4;12.89;;8.83;8.86
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.837;90.5;12.9;;8.83;8.851
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.897;90.5;12.91;;8.83;8.841
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;3.945;90.5;12.92;;8.83;8.831
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.737;90.5;12.93;;8.83;8.814
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.738;90.5;12.92;;8.83;8.823
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.81;90.6;12.94;;8.83;8.806
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.838;90.6;12.95;;8.84;8.794
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.905;90.6;12.95;;8.84;8.788
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;4.978;90.6;12.96;;8.84;8.772
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.034;90.6;12.96;;8.84;8.766
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.08;90.7;12.96;;8.84;8.746
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.116;90.7;12.96;;8.84;8.738
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.166;90.7;12.96;;8.84;8.717
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.213;90.8;12.95;;8.84;8.71
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.261;90.8;12.94;;8.84;8.692
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.301;90.8;12.94;;8.84;8.684
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.346;90.8;12.93;;8.84;8.662
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.39;90.9;12.92;;8.84;8.654
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.431;90.9;12.91;;8.84;8.628
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.476;91.0;12.9;;8.84;8.607
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.511;91.1;12.9;;8.84;8.589
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.545;91.1;12.89;;8.84;8.57
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.578;91.2;12.89;;8.84;8.555
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.617;91.3;12.89;;8.84;8.534
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.663;91.4;12.88;;8.84;8.514
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;5.682;91.5;12.88;;8.84;8.484
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.488;91.6;12.88;;8.84;8.455
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.557;91.8;12.88;;8.83;8.421
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.629;91.9;12.87;;8.83;8.392
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.648;92.1;12.86;;8.83;8.353
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.724;92.3;12.85;;8.83;8.316
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.803;92.5;12.84;;8.83;8.275
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.899;92.7;12.83;;8.83;8.239
Suivi des lacs sentinelles;Pisses;Pisses : centroïde;sonde exo PNE;;30/09/2014;10:16;6.926;92.9;12.81;;8.83;8.198
