nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.286;79.8;11.47;;7.96;9.127
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.289;79.8;11.47;;7.96;9.127
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.293;79.8;11.47;;7.96;9.127
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.298;79.8;11.47;;7.96;9.127
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.304;79.8;11.47;;7.97;9.126
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.312;79.8;11.47;;7.97;9.126
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.321;79.8;11.47;;7.97;9.126
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.332;79.8;11.47;;7.97;9.125
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.347;79.8;11.47;;7.97;9.125
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.36;79.8;11.47;;7.97;9.124
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.375;79.8;11.47;;7.98;9.124
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.391;79.8;11.46;;7.98;9.123
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.409;79.8;11.46;;7.98;9.122
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.431;79.8;11.46;;7.98;9.121
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.45;79.8;11.46;;7.98;9.12
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.47;79.8;11.46;;7.98;9.12
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;0.493;79.8;11.46;;7.98;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.24;79.8;11.46;;7.99;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.262;79.8;11.46;;7.99;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.312;79.8;11.46;;7.99;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.327;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.347;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.384;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.405;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.422;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.439;79.8;11.46;;7.99;9.118
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.455;79.8;11.46;;7.99;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.473;79.8;11.46;;8.0;9.119
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.49;79.8;11.46;;8.0;9.12
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.508;79.8;11.46;;8.0;9.121
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.526;79.8;11.46;;8.0;9.122
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.546;79.8;11.46;;8.0;9.122
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.562;79.8;11.46;;8.0;9.123
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.576;79.8;11.46;;8.0;9.123
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.59;79.8;11.46;;8.0;9.124
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.604;79.8;11.46;;8.0;9.124
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.62;79.8;11.46;;8.0;9.125
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.634;79.8;11.46;;8.0;9.126
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.649;79.8;11.46;;8.0;9.127
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.664;79.8;11.46;;8.0;9.128
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.679;79.8;11.46;;8.0;9.129
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.699;79.8;11.46;;8.0;9.13
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.717;79.8;11.46;;8.0;9.131
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.736;79.8;11.45;;8.0;9.132
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.755;79.8;11.45;;8.0;9.133
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:45;1.778;79.8;11.45;;8.0;9.134
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:46;1.798;79.8;11.45;;8.0;9.135
Suivi des lacs sentinelles;Plan Vianney;plan Vianney : point de prélèvement 1;sonde exo PNE;;23/09/2014;09:46;1.818;79.8;11.45;;8.0;9.136
