nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;0.056;18.0;10.58;-5.1;6.98;16.055
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;0.724;18.0;10.57;-4.9;6.98;15.995
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;0.73;18.0;10.57;-5.0;6.98;16.025
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.116;18.0;10.17;-4.8;6.98;15.955
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.166;18.0;10.23;-4.8;6.98;15.884
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.264;19.0;10.18;-4.7;6.98;14.516
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.409;19.0;10.58;-4.7;6.98;14.387
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.609;19.0;10.61;-4.6;6.98;14.205
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.734;19.0;10.65;-4.7;6.98;14.164
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.806;19.0;10.66;-4.7;6.98;14.149
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.858;19.0;10.66;-4.8;6.98;14.134
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.898;19.0;10.66;-4.8;6.98;14.117
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;1.973;19.0;10.65;-4.7;6.98;14.081
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:48;3.212;19.0;10.65;-4.7;6.98;14.004
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.368;19.0;10.65;-4.7;6.98;13.985
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.607;19.0;10.64;-4.7;6.98;13.921
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.672;19.0;10.64;-4.7;6.98;13.903
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.751;19.0;10.64;-4.8;6.98;13.841
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.809;19.0;10.63;-4.8;6.98;13.826
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.908;19.0;10.62;-4.8;6.98;13.76
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;3.996;19.0;10.61;-4.9;6.98;13.721
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;4.071;19.0;10.6;-5.0;6.98;13.644
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;4.142;19.0;10.59;-5.2;6.99;13.571
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;4.215;19.0;10.58;-5.2;6.99;13.485
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;4.303;19.0;10.57;-5.3;6.99;13.411
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;5.153;19.0;10.56;-5.3;6.99;13.322
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;5.312;19.0;10.55;-5.4;6.99;13.241
Suivi des lacs sentinelles;Pormenaz;Pormenaz : point de prélèvement 1;sonde exo;;08/09/2014;15:49;5.339;19.0;10.54;-5.3;6.99;13.15
