nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;0.2;39.0;8.45;;7.35;10.97
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;1.0;39.0;8.56;;7.34;11.0
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;2.0;39.0;8.59;;7.33;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;3.0;39.0;8.5;;7.34;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;4.0;39.0;8.56;;7.34;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;5.0;38.0;8.38;;7.34;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;6.0;39.0;8.52;;7.34;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;7.0;38.0;8.48;;7.34;10.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;8.0;38.0;8.57;;7.34;10.98
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;9.0;39.0;8.59;;7.34;10.98
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;10.0;39.0;8.64;;7.34;10.75
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;11.0;40.0;10.22;;7.43;9.86
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;12.0;40.0;11.45;;7.64;8.0
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;13.0;40.0;11.81;;7.77;7.3
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;14.0;40.0;11.96;;7.87;6.89
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;15.0;41.0;11.99;;7.98;6.3
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;16.0;42.0;11.93;;8.1;5.8
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;17.0;41.0;11.85;;8.13;5.38
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;18.0;41.0;11.68;;8.13;5.27
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;19.0;41.0;11.36;;8.15;4.99
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;20.0;41.0;11.23;;8.13;4.88
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;21.0;41.0;11.04;;8.12;4.8
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;22.0;41.0;10.92;;8.12;4.62
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;23.0;41.0;10.66;;8.11;4.54
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;24.0;41.0;10.53;;8.08;4.45
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;25.0;41.0;10.11;;8.07;4.31
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;26.0;41.0;9.85;;8.05;4.24
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;27.0;42.0;9.72;;8.04;4.21
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;28.0;42.0;9.62;;8.03;4.16
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;29.0;42.0;9.36;;8.02;4.11
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;30.0;43.0;9.18;;8.0;4.08
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;32.0;43.0;8.69;;7.98;4.01
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;34.0;44.0;8.61;;7.96;3.98
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;36.0;44.0;8.27;;7.93;3.97
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;38.0;44.0;8.17;;7.91;3.94
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;40.0;44.0;8.03;;7.91;3.93
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;42.0;45.0;7.95;;7.89;3.92
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;44.0;45.0;7.82;;7.88;3.9
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;46.0;46.0;7.61;;7.86;3.89
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;17/09/2014;10:00;47.0;46.0;6.92;;7.76;3.89
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;0.5;38.0;8.68;;8.08;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;1.0;38.0;8.71;;8.02;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;1.5;38.0;8.67;;7.99;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;2.0;38.0;8.7;;7.97;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;2.5;38.0;8.7;;7.96;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;3.0;38.0;8.71;;7.91;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;3.5;38.0;8.69;;7.92;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;4.0;38.0;8.68;;7.94;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;4.5;38.0;8.69;;7.99;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;5.0;38.0;8.7;;8.02;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;5.5;38.0;8.69;;8.05;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;6.0;38.0;8.71;;8.08;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;6.5;38.0;8.74;;8.12;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;7.0;38.0;8.72;;8.15;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;7.5;38.0;8.7;;8.16;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;8.0;38.0;8.71;;8.18;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;8.5;38.0;8.7;;8.18;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;9.0;38.0;8.7;;8.16;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;9.5;38.0;8.71;;8.16;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;10.0;38.0;8.71;;8.18;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;10.5;38.0;8.71;;8.18;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;11.0;38.0;8.72;;8.18;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;11.5;38.0;8.68;;8.19;10.71
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;12.0;38.0;8.68;;8.21;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;12.5;38.0;8.72;;8.18;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;13.0;38.0;8.69;;8.21;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;13.5;38.0;8.7;;8.19;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;14.0;38.0;8.68;;8.19;10.7
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;14.5;38.0;8.7;;8.22;10.69
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;15.0;38.0;8.7;;8.18;10.68
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;15.5;38.0;8.72;;8.18;10.6
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;16.0;38.0;8.75;;8.19;10.49
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;16.5;38.0;8.83;;8.22;10.23
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;17.0;39.0;9.75;;8.26;9.1
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;17.5;40.0;10.2;;8.31;8.44
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;18.0;40.0;10.71;;8.35;7.89
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;18.5;40.0;10.81;;8.37;7.43
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;19.0;40.0;10.79;;8.37;7.12
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;19.5;40.0;10.8;;8.41;6.83
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;20.0;40.0;10.77;;8.39;6.74
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;21.0;40.0;10.85;;8.37;6.38
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;22.0;40.0;10.79;;8.36;6.1
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;23.0;40.0;10.78;;8.33;5.72
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;24.0;40.0;10.67;;8.26;5.5
Suivi des lacs sentinelles;Rabuons;Rabuons : point de prélèvement 1;sonde Hydrolab CIH;;15/09/2015;10:00;25.0;41.0;10.12;;8.16;5.12
