date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
23/09/2015;12:38;0.371;5.6;8.66;7.22;10.119
;;0.383;5.6;8.66;7.21;10.117
;;1.331;5.6;8.66;7.2;10.101
;;1.909;5.6;8.65;7.2;10.074
;;3.357;5.6;8.64;7.19;10.001
;;3.896;5.6;8.64;7.19;9.891
;;5.312;5.6;8.64;7.2;9.828
;;6.623;5.6;8.63;7.19;9.787
;;7.282;5.6;8.63;7.19;9.77
;;8.837;5.6;8.61;7.19;9.742
;;10.424;5.6;8.6;7.18;9.72
;;10.977;5.6;8.59;7.18;9.714
;;12.257;5.6;8.57;7.03;9.716
;;0.0;6.0;10.86;7.54;10.741
;;0.005;6.0;10.86;7.54;10.739
;;0.012;6.0;10.86;7.54;10.736
;;0.02;6.0;10.86;7.53;10.733
;;0.029;6.0;10.86;7.53;10.73
;;0.038;6.0;10.86;7.53;10.725
;;0.051;6.0;10.85;7.52;10.718
;;0.063;6.0;10.85;7.52;10.711
;;0.075;6.0;10.85;7.51;10.703
;;0.089;6.0;10.85;7.51;10.694
;;0.105;6.0;10.85;7.51;10.687
;;0.118;6.0;10.85;7.5;10.678
;;0.132;6.0;10.85;7.5;10.672
;;0.146;6.0;10.85;7.49;10.666
;;0.161;6.0;10.85;7.49;10.659
;;0.18;6.0;10.86;7.49;10.651
;;0.196;6.0;10.86;7.48;10.644
;;0.214;6.0;10.86;7.48;10.633
;;0.232;6.0;10.86;7.48;10.623
;;0.255;6.0;10.86;7.48;10.616
;;0.275;6.0;10.86;7.47;10.608
;;0.295;6.0;10.86;7.47;10.601
;;0.316;6.0;10.86;7.47;10.595
;;0.342;6.0;10.86;7.47;10.589
;;0.364;6.0;10.86;7.47;10.582
;;0.387;6.0;10.86;7.47;10.576
;;0.41;6.0;10.86;7.46;10.567
;;0.434;6.0;10.86;7.46;10.56
;;0.462;6.0;10.86;7.46;10.554
;;0.487;6.0;10.86;7.46;10.551
;;0.511;6.0;10.86;7.46;10.549
;;0.537;6.0;10.86;7.46;10.548
;;0.569;6.0;10.86;7.46;10.546
;;0.596;6.0;10.86;7.45;10.544
;;0.624;6.0;10.86;7.45;10.543
;;0.652;6.0;10.86;7.45;10.542
;;0.681;6.0;10.86;7.45;10.54
