date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
05/10/2017;10:17;0.052;2.8;9.49;58.3;5.52;8.887
;;0.09;2.8;9.49;58.2;5.52;8.897
;;0.296;2.7;9.48;59.1;5.51;8.892
;;0.644;2.6;9.46;62.1;5.45;8.848
;;1.023;2.6;9.46;78.8;5.13;8.815
;;1.329;2.6;9.47;89.6;4.93;8.799
;;1.485;2.6;9.47;103.7;4.66;8.797
;;1.72;2.6;9.47;110.2;4.54;8.791
;;1.861;2.6;9.47;119.9;4.36;8.788
;;1.932;2.6;9.47;124.5;4.27;8.786
;;2.121;2.6;9.47;125.7;4.25;8.783
;;2.213;2.6;9.47;125.9;4.25;8.782
;;2.368;2.7;9.47;127.3;4.22;8.78
;;2.579;2.7;9.47;129.3;4.18;8.777
;;2.719;2.7;9.47;130.8;4.15;8.776
;;2.838;2.7;9.47;132.0;4.13;8.776
;;2.998;2.7;9.46;132.8;4.11;8.775
;;3.134;2.7;9.46;133.3;4.1;8.773
;;3.217;2.7;9.46;134.4;4.08;8.772
;;3.308;2.7;9.46;135.6;4.06;8.772
;;3.381;2.7;9.46;136.5;4.05;8.771
;;3.435;2.7;9.46;136.8;4.04;8.77
;;3.514;2.8;9.46;137.2;4.03;8.769
;;3.58;2.8;9.46;137.8;4.02;8.769
;;3.663;2.8;9.46;139.1;4.0;8.769
;;3.751;2.8;9.46;141.6;3.95;8.768
;;3.869;2.8;9.46;155.8;3.68;8.766
;;3.977;2.8;9.45;180.2;3.22;8.763
;;4.075;2.8;9.45;199.1;2.86;8.761
;;4.142;2.8;9.45;206.6;2.72;8.761
;;4.196;2.8;9.45;209.4;2.67;8.762
;;4.308;2.9;9.45;215.9;2.54;8.762
;;4.409;2.9;9.45;223.1;2.41;8.762
;;4.496;2.9;9.45;228.6;2.31;8.762
;;4.566;2.9;9.45;230.8;2.26;8.762
;;4.665;2.9;9.45;232.4;2.23;8.763
;;4.756;2.9;9.45;232.8;2.23;8.763
;;4.836;2.9;9.45;231.0;2.26;8.762
;;4.916;2.9;9.45;227.4;2.33;8.761
;;5.024;2.9;9.44;222.3;2.42;8.762
;;5.146;2.9;9.44;216.6;2.53;8.762
;;5.21;2.9;9.44;214.8;2.57;8.762
;;5.305;2.9;9.44;214.2;2.58;8.762
;;5.437;3.0;9.44;214.7;2.57;8.762
;;5.545;3.0;9.44;216.1;2.54;8.762
;;5.614;3.0;9.44;217.1;2.52;8.762
;;5.704;3.0;9.44;218.4;2.5;8.762
;;5.777;3.0;9.44;219.7;2.47;8.761
;;5.878;3.0;9.44;220.7;2.45;8.758
;;5.994;3.0;9.43;224.0;2.39;8.757
;;6.05;3.0;9.43;225.3;2.37;8.756
;;6.19;3.0;9.43;226.4;2.35;8.756
;;6.272;3.0;9.43;227.1;2.33;8.757
;;6.328;3.0;9.43;229.4;2.29;8.756
;;6.502;3.0;9.43;231.6;2.25;8.755
;;6.573;3.0;9.43;232.6;2.23;8.754
;;6.685;3.0;9.43;233.5;2.21;8.754
;;6.782;3.0;9.43;234.6;2.19;8.754
;;6.929;3.0;9.42;236.5;2.16;8.754
;;7.045;3.1;9.42;239.8;2.09;8.753
;;7.108;3.1;9.42;241.6;2.06;8.754
;;7.314;3.1;9.42;240.3;2.08;8.754
;;7.356;3.1;9.42;237.5;2.14;8.755
;;7.536;3.1;9.42;236.1;2.16;8.754
;;7.665;3.1;9.41;235.8;2.17;8.752
;;7.727;3.1;9.42;236.3;2.16;8.751
;;7.851;3.1;9.41;235.9;2.17;8.752
;;7.898;3.1;9.41;202.2;2.8;8.753
;;8.068;3.1;9.41;181.0;3.2;8.752
;;8.131;3.1;9.41;160.5;3.59;8.75
;;8.308;3.1;9.41;152.5;3.74;8.751
;;8.44;3.1;9.41;167.3;3.46;8.751
;;8.502;3.1;9.41;175.6;3.31;8.751
;;8.553;3.1;9.41;180.7;3.21;8.75
;;8.639;3.1;9.4;183.1;3.16;8.749
;;8.736;3.1;9.4;183.0;3.17;8.749
;;8.843;3.1;9.4;183.2;3.16;8.749
;;8.962;3.2;9.4;183.5;3.16;8.748
;;9.07;3.2;9.4;183.8;3.15;8.748
;;9.194;3.2;9.4;184.5;3.14;8.748
;;9.309;3.2;9.4;184.7;3.13;8.748
;;9.375;3.2;9.4;184.5;3.14;8.749
;;9.44;3.2;9.39;184.1;3.14;8.751
;;9.603;3.2;9.39;183.6;3.15;8.749
;;9.687;3.2;9.39;183.0;3.17;8.747
;;9.78;3.2;9.39;182.6;3.17;8.746
;;9.87;3.2;9.39;182.2;3.18;8.746
;;9.974;3.2;9.39;181.7;3.19;8.746
;;10.046;3.2;9.39;181.6;3.19;8.746
;;10.135;3.2;9.39;184.3;3.14;8.746
;;10.257;3.2;9.38;187.7;3.08;8.745
;;10.363;3.2;9.38;189.7;3.04;8.745
;;10.494;3.2;9.38;190.5;3.02;8.744
;;10.63;3.2;9.38;190.8;3.02;8.743
;;10.707;3.2;9.38;190.5;3.02;8.743
;;10.8;3.2;9.38;189.8;3.04;8.742
;;10.9;3.2;9.37;188.9;3.06;8.741
;;11.037;3.3;9.37;187.5;3.08;8.74
;;11.161;3.3;9.37;186.3;3.1;8.74
;;11.26;3.3;9.37;185.3;3.12;8.74
;;11.381;3.3;9.37;184.2;3.14;8.738
;;11.485;3.3;9.37;183.4;3.16;8.736
;;11.639;3.3;9.37;182.1;3.18;8.732
;;11.732;3.3;9.37;181.1;3.2;8.728
;;11.85;3.3;9.36;180.5;3.21;8.725
;;11.933;3.3;9.36;178.9;3.24;8.726
;;12.033;3.3;9.36;175.8;3.3;8.727
;;12.183;3.3;9.36;172.6;3.36;8.723
;;12.29;3.3;9.36;170.0;3.41;8.72
;;12.359;3.3;9.36;168.1;3.45;8.72
;;12.52;3.3;9.35;166.7;3.47;8.717
;;12.644;3.3;9.35;165.3;3.5;8.715
;;12.686;3.3;9.35;163.5;3.53;8.716
;;12.843;3.3;9.35;162.2;3.56;8.714
;;13.016;3.3;9.34;161.3;3.58;8.708
;;13.139;3.3;9.34;160.5;3.59;8.705
;;13.229;3.3;9.34;160.1;3.6;8.694
;;13.413;3.3;9.33;159.5;3.61;8.665
;;13.547;3.3;9.34;157.5;3.65;8.644
;;13.661;3.3;9.34;155.6;3.68;8.636
;;13.701;3.3;9.34;154.1;3.71;8.643
;;13.855;3.3;9.31;153.0;3.73;8.615
;;14.03;3.3;9.3;151.3;3.76;8.527
;;14.165;3.3;9.32;149.5;3.8;8.466
;;14.203;3.3;9.33;148.1;3.82;8.448
