degree_celsius,humidity,ph,latitude,longitude,date et heure
27.9375,466,6.4998,45.19137573,5.75408983,0/0/2000 19:15:9
27.9375,380,6.0697,45.19137573,5.75408983,27/6/2021 19:15:10
27.9375,355,5.8191,45.19137573,5.75408983,27/6/2021 19:15:12
27.9375,347,5.7080,45.19137573,5.75408983,27/6/2021 19:15:14
27.9375,342,5.6567,45.19137573,5.75408983,27/6/2021 19:15:15
27.9375,340,5.6340,45.19137573,5.75408983,27/6/2021 19:15:16
27.9375,343,5.6396,45.19137573,5.75408983,27/6/2021 19:15:17
27.9375,341,5.6226,45.19137573,5.75408983,27/6/2021 19:15:19
27.9375,339,5.6055,45.19137573,5.75408983,27/6/2021 19:15:20
27.9375,342,5.6226,45.19137573,5.75408983,27/6/2021 19:15:21
27.9375,341,5.6226,45.19137573,5.75408983,27/6/2021 19:15:23
27.9375,338,5.6055,45.19137573,5.75408983,27/6/2021 19:15:24
27.9375,341,5.6140,45.19137573,5.75408983,27/6/2021 19:15:25
27.9375,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:27
27.8750,342,5.6226,45.19137573,5.75408983,27/6/2021 19:15:28
27.8750,340,5.6112,45.19137573,5.75408983,27/6/2021 19:15:30
27.9375,339,5.5998,45.19137573,5.75408983,27/6/2021 19:15:31
27.9375,337,5.5884,45.19137573,5.75408983,27/6/2021 19:15:32
27.9375,336,5.5713,45.19137573,5.75408983,27/6/2021 19:15:33
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:35
27.8750,338,5.5998,45.19137573,5.75408983,27/6/2021 19:15:36
27.8750,337,5.5713,45.19137573,5.75408983,27/6/2021 19:15:37
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:38
27.8750,339,5.6055,45.19137573,5.75408983,27/6/2021 19:15:40
27.9375,337,5.5884,45.19137573,5.75408983,27/6/2021 19:15:41
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:42
27.8750,339,5.6026,45.19137573,5.75408983,27/6/2021 19:15:44
27.8750,337,5.5884,45.19137573,5.75408983,27/6/2021 19:15:45
27.8750,337,5.5713,45.19137573,5.75408983,27/6/2021 19:15:46
27.8750,339,5.5969,45.19137573,5.75408983,27/6/2021 19:15:48
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:49
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:51
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:53
27.8750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:15:54
27.8750,337,5.5656,45.19137573,5.75408983,27/6/2021 19:15:55
27.8750,340,5.6055,45.19137573,5.75408983,27/6/2021 19:15:57
27.8750,341,5.6055,45.19137573,5.75408983,27/6/2021 19:15:58
27.8750,339,5.6055,45.19137573,5.75408983,27/6/2021 19:16:0
27.8750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:1
27.8125,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:3
27.8125,341,5.6055,45.19137573,5.75408983,27/6/2021 19:16:4
27.8125,339,5.6055,45.19137573,5.75408983,27/6/2021 19:16:6
27.8125,337,5.5884,45.19137573,5.75408983,27/6/2021 19:16:7
27.8125,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:9
27.8125,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:10
27.8125,341,5.6197,45.19137573,5.75408983,27/6/2021 19:16:12
27.8125,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:13
27.8125,341,5.6226,45.19137573,5.75408983,27/6/2021 19:16:14
27.8125,339,5.6026,45.19137573,5.75408983,27/6/2021 19:16:16
27.8125,341,5.6055,45.19137573,5.75408983,27/6/2021 19:16:18
27.8125,339,5.6026,45.19137573,5.75408983,27/6/2021 19:16:19
27.8125,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:21
27.8125,342,5.6226,45.19137573,5.75408983,27/6/2021 19:16:22
27.8125,339,5.6055,45.19137573,5.75408983,27/6/2021 19:16:24
27.8125,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:25
27.8125,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:27
27.8125,338,5.5884,45.19137573,5.75408983,27/6/2021 19:16:28
27.8125,341,5.6140,45.19137573,5.75408983,27/6/2021 19:16:30
27.8125,339,5.6026,45.19137573,5.75408983,27/6/2021 19:16:31
27.8125,340,5.6055,45.19137573,5.75408983,27/6/2021 19:16:33
